cluster_label,label,val1,val2
D,D,1.44,-3.12
A,A,-5.86,0.24
B,B,1.4,5.51
A,A,-7.25,-0.11
B,B,-1.06,4.48
D,D,-0.78,-2.17
D,D,2.4,-1.12
A,A,-7.36,-1.12
B,B,-0.37,5.12
D,D,0.68,-5.03
C,C,6.12,-0.68
B,B,0.3,3.74
D,D,-0.75,-0.95
A,A,-7.61,-0.2
C,C,7.25,-1.2
C,D,2.62,-0.55
B,B,-1.55,4.93
D,D,0.84,-3.39
C,C,5.97,-0.07
C,C,7.74,-1.83
D,D,-1.31,-2.47
C,C,4.42,1.4
D,D,-1.05,-2.18
D,D,0.59,-1.84
A,A,-7.53,0.83
B,B,-1.32,5.16
D,D,-1.51,1.25
C,C,4.23,1.68
A,A,-6.36,0.55
B,B,0.43,4.12
D,D,-1.74,-1.15
A,A,-8.5,0.18
B,B,1.05,5.1
D,D,-2.28,1.34
B,B,-1.83,5.84
A,A,-6.75,-0.49
C,C,5.01,-0.85
B,B,-0.91,6.91
A,A,-5.54,1.27
A,A,-6.8,-0.26
B,B,-0.04,7.21
B,B,-1.13,4.49
C,C,8.55,1.25
D,D,0.57,-2.69
B,B,-0.7,3.62
B,B,1.82,6.16
D,D,-1.49,-3.9
A,A,-7.86,-1.06
C,C,5.57,2.11
A,A,-7.53,-0.58
C,C,7.65,-0.49
C,C,5.77,-0.19
C,C,3.28,-0.29
C,C,3.65,1.16
A,A,-6.02,1.47
C,C,7.18,-0.67
A,A,-7.31,-0.81
A,A,-7.31,-0.97
B,B,1.17,5.81
D,D,-3.47,-2.88
A,A,-8.46,0.77
A,A,-6.66,0.53
B,B,-0.77,6.83
D,D,-1.37,-4.62
A,A,-6.92,-0.35
B,B,-0.13,6.11
D,D,-0.59,-5.09
C,C,7.43,1.87
B,B,0.49,5.85
A,A,-7.02,-1.3
A,A,-5.24,-0.72
C,C,5.57,0.24
B,B,-0.29,5.4
A,A,-6.9,-0.19
D,D,-2.31,-2.08
B,B,1.33,7.23
B,B,0.85,3.79
B,B,0.14,5.13
A,A,-6.51,-0.07
D,D,-1.08,-2.39
A,A,-7.59,0.16
A,A,-5.72,-0.77
A,A,-8.33,0.95
A,A,-8.08,-1.18
B,B,-0.63,4.04
C,C,6.08,-0.52
D,D,-1.41,-1.53
B,B,-0.01,4.69
D,D,-0.61,-5.58
B,D,-1.13,1.98
A,A,-7.54,0.44
C,C,6.11,0.52
A,A,-7.51,0.99
D,D,0.63,-2.45
C,C,4.33,-0.16
A,A,-6.21,0.09
C,C,8.21,-0.74
D,D,-1.53,-3.08
B,B,0.38,6.96
B,B,-0.43,7.38
D,D,0.58,-4.5
D,D,1.56,-0.14
B,B,0.01,5.65
C,C,6.89,2.54
A,A,-6.89,-0.08
C,C,5.69,-2.35
D,D,-1.25,-2.33
D,D,-1.63,-2.34
A,A,-5.64,0.79
A,A,-6.95,-0.01
D,D,-2.5,-3.19
D,D,-0.15,-1.96
B,B,1.34,6.25
C,C,4.36,0.94
B,B,-1.15,4.86
C,C,4.88,-1.31
C,C,6.33,-0.02
C,C,6.12,2.15
C,C,5.79,-1.18
C,C,7.8,0.77
B,B,1.22,5.26
A,A,-6.94,-0.38
A,A,-7.11,1.02
B,B,-2.08,5.89
D,D,0.92,-4.99
B,B,-0.16,5.79
C,C,7.96,-2.24
C,C,5.98,0.05
A,A,-7.58,0.2
A,A,-6.72,0.32
B,B,0.07,5.99
A,A,-6.62,-1.57
C,C,6.2,2.67
C,C,7.95,-1.36
A,A,-5.75,0.52
C,C,5.48,0.54
A,A,-5.27,0.97
C,C,4.68,-0.89
A,A,-7.6,-0.4
B,D,-0.32,1.7
A,A,-7.71,1.76
A,A,-6.57,1.28
C,C,7.96,2.21
B,B,-0.93,4.4
D,D,1.0,-1.99
B,B,-0.84,5.94
A,A,-5.9,-1.12
C,C,5.46,1.63
D,D,-1.04,-1.97
A,A,-7.73,-1.17
A,A,-6.83,-0.89
D,D,1.95,0.6
C,C,7.35,-2.56
A,A,-6.39,0.26
D,D,-2.11,-1.1
A,A,-7.16,-0.17
C,C,7.29,0.35
B,B,-1.1,6.42
C,C,8.32,-0.98
C,C,8.26,-1.02
B,B,1.36,6.34
D,D,0.85,1.24
D,D,-0.92,-2.01
A,A,-7.39,0.14
A,A,-7.06,-0.09
D,D,-0.83,-2.52
D,D,-3.05,0.85
B,B,0.07,6.6
B,B,0.53,5.48
A,D,-4.68,-1.52
C,C,6.19,-2.29
A,A,-5.23,0.74
A,A,-8.16,0.51
A,A,-6.75,0.26
D,D,-4.02,-2.42
A,A,-8.1,0.19
A,A,-6.42,1.7
C,C,5.49,0.46
B,B,-0.35,4.11
D,D,1.17,-1.85
A,A,-6.84,-0.08
C,C,5.51,-0.18
C,C,5.14,0.47
B,B,0.53,6.2
C,C,6.14,1.11
B,D,0.34,1.65
C,C,5.42,0.75
D,D,-1.4,-2.61
D,D,-2.08,-2.54
B,B,1.53,5.69
A,A,-6.17,0.57
C,C,5.99,-0.0
D,D,0.08,-5.1
D,D,-3.68,-3.66
A,A,-6.68,-0.14
A,D,-4.42,-1.72
C,C,4.33,0.63
C,C,5.8,-0.56
A,A,-8.13,0.07
A,D,-4.08,-0.77
A,A,-6.71,1.87
B,B,-0.74,4.53
A,A,-7.96,-1.08
A,A,-5.75,0.37
C,C,5.43,0.44
B,B,1.56,5.12
A,A,-6.98,-0.19
B,B,0.55,5.58
B,B,-0.27,4.99
B,B,-0.01,6.47
B,B,0.31,4.73
B,B,-0.4,6.01
D,D,-0.88,-1.96
C,C,4.11,-0.44
B,B,0.55,7.27
C,C,4.83,0.0
B,B,-0.28,5.63
A,A,-6.97,-1.89
C,C,7.63,0.19
B,B,1.75,4.53
B,B,-1.72,4.19
A,A,-6.49,0.15
D,D,-0.17,-1.88
B,B,0.24,5.89
C,C,6.87,-1.26
D,D,-1.9,-3.31
B,B,1.77,6.14
C,C,8.14,-1.68
C,C,5.99,-0.15
A,A,-6.68,-1.28
C,C,5.21,0.16
B,B,-0.54,3.52
A,A,-6.76,-0.18
B,B,-0.67,7.41
B,B,1.33,6.89
C,C,6.75,-0.37
C,C,5.79,2.13
C,C,6.46,0.11
C,C,5.54,0.84
A,A,-7.2,0.23
B,B,-0.22,3.67
A,A,-7.0,-1.62
D,D,-1.14,-1.62
D,D,-0.84,-3.23
C,C,4.49,-1.3
B,B,-2.13,5.32
C,C,6.38,-2.7
C,C,7.57,2.31
D,D,2.48,-2.14
C,C,4.77,-0.18
B,B,-0.73,5.29
A,D,-4.73,-2.58
D,D,-1.66,-3.9
